Backbone,pretraining,,Accuracy,,,,,,
,method,epochs,Flowers,Pets,Dtd,Indoor67,CUB,Aircraft,Cars
DeiT-Tiny ,random init.,0,58.1,31.8,49.4,31,23.8,14.6,12.3
,SimCLR ,800,71.1,52.1,55.9,50.7,36.2,43.2,64.3
,SupCon ,,72.3,50.3,55.6,49.3,37.8,29.4,66.2
,MoCov2 ,,61.8,41.5,50.6,41.1,31.6,37.7,44
,MoCov3 ,,67,52.9,52.9,49.4,20.5,32,53.7
,DINO ,,64.1,51.3,51.7,46.9,41.8,45.7,65.3
,IDMM ,,79.9,56.7,61.2,53.9,43.1,43.2,66.4
